Prev_MathAnx_score,Prev_hcp_h456e2_math,Prev_hcp_h456e2_word,points,easy_math_cnt,easy_word_cnt,easy_acc_math,easy_acc_word,easy_RT_math,easy_RT_word,hard_math_cnt,hard_word_cnt,hard_level_math,hard_level_word,hard_acc_math,hard_acc_word,hard_RT_math,hard_RT_word,hcp_h2e2_math,hcp_h3e2_math,hcp_h4e2_math,hcp_h5e2_math,hcp_h6e2_math,hcp_h456e2_math,hcp_h2e2_word,hcp_h3e2_word,hcp_h4e2_word,hcp_h5e2_word,hcp_h6e2_word,hcp_h456e2_word
3.72,0.23333,0.63333,287,17,20,1,0.95,2189,2032,33,30,3.1515,4.5,0.63636,0.66667,3723,2415,0.1,0.3,0.9,1,1,0.96667,0.1,0.2,0.8,0.9,1,0.9
1.76,0,0.96667,330,50,11,0.96,0.90909,1878,2544,0,39,NaN,3.0769,NaN,0.64103,NaN,2993,0,0,0,0,0,0,0,1,0.9,1,1,0.96667
1.32,0.96667,0.98333,314,19,19,1,1,1918,1826,31,31,4.871,4.2258,0.74194,0.67742,4241,3284,0.1,0,1,1,1,1,0,0.1,1,1,1,1
1.56,1,0.98333,317,20,21,1,1,1755,2126,30,29,5.1333,5.2759,0.73333,0.72414,3637,3518,0,0,1,1,1,1,0,0,0.9,1,1,0.96667
2.16,0.95,0.93333,269,12,12,1,0.91667,2500,2015,38,38,3.3158,2.3947,0.71053,0.57895,4603,2426,0,0.9,0.9,1,1,0.96667,0,0.8,1,1,1,1
1.44,0.033333,0,379,49,50,0.97959,0.92,2146,1973,1,0,3,NaN,0,NaN,2372,NaN,0.1,0,0,0,0,0,0,0,0,0,0,0
2.4,0.91667,0.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.52,1,0.98333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.72,0,0.68333,394,49,49,1,0.95918,1700,1978,1,1,4,3,1,1,3931,2610,0.1,0,0,0,0,0,0,0,0,0,0.1,0.033333
1.44,0.66667,0.98333,327,25,26,1,1,2243,1975,25,24,3.48,4.6667,0.76,0.70833,4248,3134,0.1,0,0.4,1,1,0.8,0,0,0.4,1,1,0.8
1.08,0.066667,0.033333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.72,0.1,0.96667,345,45,21,0.97778,0.95238,1904,1866,5,29,4.6,6.2069,0.6,0.68966,3394,3389,0.4,0,0,0,0.1,0.033333,0.1,0.4,0.7,0.8,0.9,0.8
1.6,0.98333,0.96667,341,37,17,0.97297,1,1810,1985,13,33,3.7692,4.1818,0.69231,0.75758,3337,3262,0,0.2,0.1,0.4,0.6,0.36667,0,0.4,0.9,1,1,0.96667
2.4,0.71667,1,305,12,10,1,0.9,1981,2640,38,40,3.7105,5.475,0.71053,0.725,3919,3460,0,0.8,1,1,1,1,0,1,1,1,1,1
1.08,0,0.05,368,49,49,1,0.87755,1670,1994,1,1,4,4,1,0,1584,1583,0.1,0,0,0,0,0,0,0,0.1,0,0,0.033333
2.04,0.96667,0.96667,327,27,13,1,0.92308,1890,1970,23,37,3.5217,4.8649,0.73913,0.75676,3127,2348,0.1,0.5,0.6,0.5,0.6,0.56667,0.1,1,0.8,0.9,0.9,0.86667
1.76,0.98333,1,278,11,11,1,0.90909,2293,2476,39,39,3.8205,3.0769,0.66667,0.69231,4546,3227,0,0.9,1,1,1,1,0.1,0.9,0.9,1,1,0.96667
2.96,0.95,0.98333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.16,1,0.95,307,21,20,1,0.95,2274,2319,29,30,5.1379,3.6,0.72414,0.7,4741,3477,0,0,1,0.9,1,0.96667,0.1,0,1,1,0.9,0.96667
1.72,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.56,0,1,301,21,8,1,1,1992,1758,29,42,3.2414,4.4286,0.68966,0.69048,3782,3016,0,0.1,0.8,1,1,0.93333,0.2,1,1,1,1,1
4.44,0.016667,0.96667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1,302,10,10,1,1,1782,1789,40,40,5.35,5.675,0.725,0.7,4626,3703,0,1,1,1,1,1,0,1,1,1,1,1
1.28,0.98333,0.98333,306,10,10,1,1,2120,1818,40,40,4.2,6.225,0.7,0.8,4095,3807,0,1,1,1,1,1,0,1,1,1,1,1
3.24,0,0.96667,319,26,19,1,1,1993,1811,24,31,3.4167,4.3871,0.66667,0.74194,3581,2949,0,0,0.6,0.9,0.9,0.8,0,0.1,1,1,1,1
1.92,1,0.98333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,0.5,0.56667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.68,0.95,0.98333,305,17,10,1,1,1959,1922,33,40,4.3939,4.425,0.69697,0.75,3960,2811,0,0.3,1,1,1,1,0,1,1,1,1,1
2.36,0.98333,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.16,1,0.98333,301,11,9,1,1,2172,1868,39,41,4.8974,4.2927,0.69231,0.73171,3821,2700,0,1,0.9,1,1,0.96667,0.1,1,1,1,1,1
2.96,0.2,0.63333,338,48,15,0.97917,0.93333,1809,1742,2,35,4,5.7143,1,0.68571,3514,2798,0,0,0.1,0,0.1,0.066667,0,0.7,1,0.9,0.9,0.93333
2.32,0.85,0.96667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.08,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.64,0.05,0.95,296,18,10,0.94444,1,1934,1925,32,40,2.5,3.95,0.65625,0.7,2930,2350,0,0.5,0.9,0.8,1,0.9,0.1,0.9,1,1,1,1
1.64,0.71667,0.76667,342,13,12,0.92308,1,2643,2104,37,38,6.1622,4.6579,0.89189,0.73684,3838,2398,0,0.8,0.9,1,1,0.96667,0.1,0.9,0.8,1,1,0.93333
2.12,0,0.96667,364,50,20,1,1,2231,2238,0,30,NaN,3.5333,NaN,0.76667,NaN,3033,0,0,0,0,0,0,0,0,1,1,1,1
2.56,0.96667,0.95,323,9,14,1,0.92857,2105,1993,41,36,6.2195,4.5278,0.90244,0.66667,4280,2521,0.1,1,1,1,1,1,0.1,0.5,1,1,1,1
1,0.95,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.76,1,1,265,9,9,1,0.55556,2455,2490,41,41,2.8049,2.4878,0.68293,0.65854,3443,2841,0.2,0.9,1,1,1,1,0.1,1,1,1,1,1
3.48,0.96667,0.96667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.96667,1,292,13,10,1,1,3817,2434,37,40,4.4595,3.35,0.7027,0.725,4851,3399,0,0.9,0.9,1,0.9,0.93333,0,1,1,1,1,1
1.04,0.98333,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.32,0.066667,0.61667,345,49,48,0.77551,0.95833,2184,1759,1,2,4,4,0,0.5,3812,2903,0.1,0,0,0,0,0,0.1,0,0,0,0.1,0.033333
2.32,0.083333,0.98333,383,49,49,1,0.93878,1806,1651,1,1,4,4,1,0,2517,2494,0,0,0,0,0.1,0.033333,0,0.1,0,0,0,0
1.72,0.98333,1,297,18,11,0.88889,1,2808,2549,32,39,5.1563,4.4872,0.71875,0.69231,5339,3442,0,0.2,1,1,1,1,0,0.9,1,1,1,1
1.36,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.44,0.016667,1,281,20,22,0.75,0.95455,1917,1897,30,28,2.2,4.25,0.5,0.78571,2318,2045,0.1,0.2,0.8,1,0.9,0.9,0,0.2,0.8,0.9,0.9,0.86667
2.4,0,0.95,232,10,10,0.7,1,2279,1925,40,40,2.175,4.2,0.375,0.75,2043,2361,0,1,1,1,1,1,0,1,1,1,1,1
1.92,0.18333,1,295,19,11,1,0.90909,1941,2054,31,39,3.3548,4.1282,0.67742,0.71795,2921,2804,0,0.2,0.9,1,1,0.96667,0,0.9,1,1,1,1
2.6,1,1,285,8,13,1,1,2371,2692,42,37,3.6429,3.3784,0.7619,0.7027,3984,3327,0.2,1,1,1,1,1,0.1,0.9,0.9,0.9,0.9,0.9
2.12,0.55,0.95,323,13,14,1,1,2269,1812,37,36,3.973,4.1389,0.75676,0.75,3778,2338,0,0.7,1,1,1,1,0,0.7,1,1,0.9,0.96667
1.2,0.15,0.81667,318,21,22,0.90476,0.90909,2047,1997,29,28,3.2069,4.5,0.72414,0.78571,2798,2961,0.1,0.2,0.7,0.9,1,0.86667,0,0.3,0.7,0.8,1,0.83333
4.04,0.066667,0.16667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.32,0.1,0.76667,334,39,15,1,0.93333,2361,2162,11,35,3.6364,3.9714,0.63636,0.74286,4005,2768,0.1,0.3,0.2,0.2,0.3,0.23333,0,0.7,0.8,1,1,0.93333
1.76,0.016667,0.98333,327,47,4,0.97872,1,1926,1649,3,46,5.3333,6.3261,0.33333,0.71739,4420,3361,0,0,0,0.2,0.1,0.1,0.6,1,1,1,1,1
3.44,0.81667,0.88333,266,13,6,0.92308,1,1940,2241,37,44,2.5676,4.2955,0.56757,0.63636,3136,2766,0.4,0.8,0.9,0.7,0.9,0.83333,0.8,0.9,0.9,0.9,0.9,0.9
