Age,Sex,Edu_level,Highest_math,Curr_math,Ethnicity,Race,Income,MathAnx_score,ReadAnx_score,TraitAnx_score,SocDsr_score,TestAnx_score,points,easy_math_cnt,easy_word_cnt,easy_acc_math,easy_acc_word,easy_RT_math,easy_RT_word,hard_math_cnt,hard_word_cnt,hard_level_math,hard_level_word,hard_acc_math,hard_acc_word,hard_RT_math,hard_RT_word,hcp_h2e2_math,hcp_h3e2_math,hcp_h4e2_math,hcp_h5e2_math,hcp_h6e2_math,hcp_h456e2_math,hcp_h2e2_word,hcp_h3e2_word,hcp_h4e2_word,hcp_h5e2_word,hcp_h6e2_word,hcp_h456e2_word
34,1,2,4,2,2,5,1,3.44,2.44,64,21,70,294,60,40,0.9167,0.925,2822,2405,10,30,2.1,3.6667,0.5,0.6333,5151,3672,0,0,0,0,0,0,0.1,0.6,0.7,0.4,0.2,0.4333
24,2,2,5,2,2,3,2,2.8,2.88,78,14,71,258,60,58,0.8667,0.8621,2185,2423,10,12,2.2,3.25,0.4,0.5833,3698,3125,0,0,0,0,0,0,0,0,0.1,0.1,0,0.0667
34,1,4,6,2,2,5,5,1.68,1.72,20,30,35,280,60,60,0.85,0.9,2438,1926,10,10,2.3,3.1,0.6,0.8,2796,2276,0,0,0,0,0,0,0,0,0,0,0,0
31,2,4,4,2,2,3,4,3.24,1.76,33,11,51,281,60,60,0.9667,0.9167,2069,2106,10,10,2.3,3.7,0.5,0.6,2668,2680,0,0,0,0,0,0,0,0,0,0,0,0
34,2,4,6,2,2,5,3,1.36,1.44,48,5,24,276,60,59,0.9,0.9153,2154,2201,10,11,2.3,4.1818,0.6,0.5455,4024,3469,0,0,0,0,0,0,0,0,0.1,0,0,0.0333
30,2,3,6,2,1,5,2,3.72,3.04,44,25,48,269,60,60,0.9167,0.8333,1815,2023,10,10,2.6,3,0.5,0.7,2177,2442,0,0,0,0,0,0,0,0,0,0,0,0
28,1,3,3,2,2,5,3,3.28,2.08,21,27,36,275,60,60,0.8667,0.8833,2188,2257,10,10,2.8,2.2,0.7,0.6,3376,2892,0,0,0,0,0,0,0,0,0,0,0,0
20,2,3,4,2,2,5,2,3.4,3.36,40,11,52,298,60,32,0.7667,0.875,3536,3228,10,38,2.8,3.6316,0.6,0.6842,4682,4460,0,0,0,0,0,0,0.1,0.6,0.8,0.6,0.7,0.7
28,1,2,4,2,2,5,4,3.56,2.24,37,21,64,336,60,22,0.9833,0.9545,1819,2017,10,48,2.9,4.6458,0.7,0.7083,2926,2660,0,0,0,0,0,0,0.7,0.7,0.8,0.9,0.7,0.8
34,2,5,6,2,2,5,6,1,1,20,12,23,361,60,22,0.9667,0.9545,1749,1819,10,48,3.4,4.625,0.9,0.7292,3358,2664,0,0,0,0,0,0,0.1,1,1,1,0.7,0.9
34,1,3,4,2,2,3,1,3.32,2.16,49,21,48,285,60,60,0.95,0.8833,2113,2011,10,10,3.6,2.1,0.9,0.4,3850,2516,0,0,0,0,0,0,0,0,0,0,0,0
26,1,3,6,2,2,3,7,4.36,2.84,53,6,61,286,60,60,0.9667,0.8833,2575,2915,10,10,4,2.2,0.7,0.6,4633,3420,0,0,0,0,0,0,0,0,0,0,0,0
33,1,2,4,2,2,5,4,2.08,2.2,33,22,32,299,60,60,0.9833,0.95,2173,2833,10,10,4.2,2.7,0.7,0.7,4867,3031,0,0,0,0,0,0,0,0,0,0,0,0
33,1,4,6,2,2,3,2,2.56,1.84,25,7,42,302,60,59,0.9667,0.9322,2093,2091,10,11,4.6,4.8182,0.6,0.8182,4652,3701,0,0,0,0,0,0,0,0,0,0,0.1,0.0333
