difficulty_level,problem,alt1,alt2,alt3,answer,original_word,batch,num_workers,num_correct,mean_RT
6,S9?ND9RD,A,E,I,alt1,STANDARD,1,43,25,4.7747
3,B9?UTY,A,E,I,alt1,BEAUTY,1,43,35,3.7543
1,US?GE,A,E,I,alt1,USAGE,1,43,41,3.551
7,M9?SU9ED,A,E,I,alt1,MEASURED,1,43,19,4.948
3,I9?GINE,A,E,I,alt1,IMAGINE,1,43,36,3.7637
1,B9?ZI9IAN,A,E,I,alt1,BRAZILIAN,1,43,40,3.7909
1,GU?M,A,E,I,alt1,GUAM,1,43,40,3.7044
5,C9?RKE,A,E,I,alt1,CLARKE,1,43,27,4.5124
7,I9?LIA,A,E,I,alt1,ITALIA,1,43,19,4.8886
5,E9?SP9RA9ION,A,E,I,alt1,EXASPERATION,1,43,28,4.643
7,E9?NTS,A,E,I,alt2,EVENTS,1,43,15,4.7486
7,S9?CI9IC9LLY,A,E,I,alt2,SPECIFICALLY,1,43,10,5.3179
6,S9?CI9LTY,A,E,I,alt2,SPECIALTY,1,43,21,5.0207
2,OM?GA,A,E,I,alt2,OMEGA,1,43,39,3.619
3,C9?AT9VITY,A,E,I,alt2,CREATIVITY,1,43,34,4.1306
7,S9?CI9ICS,A,E,I,alt2,SPECIFICS,1,43,13,4.9857
6,F9?EL9NCE,A,E,I,alt2,FREELANCE,1,43,20,4.5565
4,G9?EN9ICH,A,E,I,alt2,GREENWICH,1,43,31,4.5685
3,E9?RG9EEN,A,E,I,alt2,EVERGREEN,1,43,36,4.1907
4,C9?AMY,A,E,I,alt2,CREAMY,1,43,33,4.3931
1,ED?T,A,E,I,alt3,EDIT,1,43,41,3.5639
7,C9?TE9IA,A,E,I,alt3,CRITERIA,1,43,8,5.1364
7,I9?TI9TI9ES,A,E,I,alt3,INITIATIVES,1,43,10,4.888
1,B9?DAL,A,E,I,alt3,BRIDAL,1,43,41,4.0879
1,S9?SS9RS,A,E,I,alt3,SCISSORS,1,43,42,3.943
7,P9?ES9LY,A,E,I,alt3,PRIESTLY,1,43,13,5.2525
5,T9?BU9AT9ON,A,E,I,alt3,TRIBULATION,1,43,29,4.653
5,E9?SC9PAL,A,E,I,alt3,EPISCOPAL,1,43,27,4.7386
7,P9?SS9NT,A,E,I,alt3,PUISSANT,1,43,6,4.8578
7,P9?LE9ON,A,E,I,alt3,PHILEMON,1,43,9,5.0295
6,M9?TI9NED,N,R,T,alt1,MENTIONED,1,43,22,5.0782
1,VI?YL,N,R,T,alt1,VINYL,1,43,40,3.6395
4,IN?S,N,R,T,alt1,INNS,1,43,30,4.3832
1,SY?C,N,R,T,alt1,SYNC,1,43,41,3.5809
1,U9?EC9SS9RY,N,R,T,alt1,UNNECESSARY,1,43,41,3.6361
1,G9?TL9MAN,N,R,T,alt1,GENTLEMAN,1,43,40,3.752
7,S9?IT9RY,N,R,T,alt1,SANITARY,1,43,17,4.7491
1,C9?DE9ELLA,N,R,T,alt1,CINDERELLA,1,43,42,3.7209
1,S9?ONYM,N,R,T,alt1,SYNONYM,1,43,41,3.7194
6,T9?AC9OU9LY,N,R,T,alt1,TENACIOUSLY,1,43,23,4.16
3,W9?RA9TY,N,R,T,alt2,WARRANTY,1,43,36,3.7788
1,H9?IT9GE,N,R,T,alt2,HERITAGE,1,43,41,3.6387
3,M9?TG9GES,N,R,T,alt2,MORTGAGES,1,43,36,3.7978
1,N9?SERY,N,R,T,alt2,NURSERY,1,43,43,3.8356
1,W9?RIOR,N,R,T,alt2,WARRIOR,1,43,42,3.6237
1,B9?MUDA,N,R,T,alt2,BERMUDA,1,43,42,3.5132
1,HE?B,N,R,T,alt2,HERB,1,43,41,3.5675
2,H9?ETIC,N,R,T,alt2,HERETIC,1,43,39,3.7915
3,V9?DANT,N,R,T,alt2,VERDANT,1,43,33,4.0215
7,I9?IT9TE,N,R,T,alt2,IRRITATE,1,43,17,5.2093
2,M9?RIX,N,R,T,alt3,MATRIX,1,43,37,3.7947
5,N9?ICES,N,R,T,alt3,NOTICES,1,43,27,4.9769
1,M9?OR9YCLE,N,R,T,alt3,MOTORCYCLE,1,43,40,3.5173
7,A9?EM9TING,N,R,T,alt3,ATTEMPTING,1,43,7,5.5859
6,A9?RIDE,N,R,T,alt3,ASTRIDE,1,43,22,5.228
6,A9?UTE,N,R,T,alt3,ASTUTE,1,43,22,4.9258
6,F9?HE9LAND,N,R,T,alt3,FATHERLAND,1,43,23,4.952
6,B9?ANY,N,R,T,alt3,BOTANY,1,43,20,4.1796
7,W9?CH9ORD,N,R,T,alt3,WATCHWORD,1,43,10,5.2092
5,T9?ULAR,N,R,T,alt3,TITULAR,1,43,25,4.4181
1,PL?N,A,E,I,alt1,PLAN,2,49,49,3.5036
4,L9?BI9ITY,A,E,I,alt1,LIABILITY,2,49,34,4.408
1,W9?PONS,A,E,I,alt1,WEAPONS,2,49,47,3.5088
2,G9?SGOW,A,E,I,alt1,GLASGOW,2,49,43,3.9969
3,S9?TU9ORY,A,E,I,alt1,STATUTORY,2,49,42,4.1292
1,P9?YBOY,A,E,I,alt1,PLAYBOY,2,49,48,3.5853
3,S9?RL9GHT,A,E,I,alt1,STARLIGHT,2,49,43,4.247
2,E9?GG9RATE,A,E,I,alt1,EXAGGERATE,2,49,44,3.8819
2,H9?DS9RONG,A,E,I,alt1,HEADSTRONG,2,49,43,3.8249
3,I9?UD9BLE,A,E,I,alt1,INAUDIBLE,2,49,42,4.0461
5,E9?MENT,A,E,I,alt2,ELEMENT,2,49,33,4.3382
6,S9?CI9LS,A,E,I,alt2,SPECIALS,2,49,23,5.0374
7,S9?CI9LIST,A,E,I,alt2,SPECIALIST,2,49,22,5.005
3,TR?K,A,E,I,alt2,TREK,2,49,39,3.8166
3,T9?AS9RER,A,E,I,alt2,TREASURER,2,49,40,4.5492
